@relation ACM_Classifier

@attribute name string
@attribute occurrence numeric
@attribute category {Applied_computing,Computer_systems_organization,Computing_and_methodologies,Data,General_and_reference,Hardware,Information_systems,Mathematics_of_computing,Social_and_professional_topics,Software_and_its_engineering,Theory_of_computation}

@data
extens,2,Applied_computing
dep,1,Applied_computing
without,2,Applied_computing
via,1,Applied_computing
offer,2,Applied_computing
describ,2,Applied_computing
path,1,Applied_computing
fix,1,Applied_computing
substanti,1,Applied_computing
permiss,4,Applied_computing
accommod,1,Applied_computing
recon,1,Applied_computing
dfg,2,Applied_computing
instruct,5,Applied_computing
citat,1,Applied_computing
past,1,Applied_computing
al,11,Applied_computing
instituto,1,Applied_computing
exam,1,Applied_computing
customiza,1,Applied_computing
predefin,1,Applied_computing
au,1,Applied_computing
size,1,Applied_computing
configur,2,Applied_computing
fourier,1,Applied_computing
placement,4,Applied_computing
descript,3,Applied_computing
ture,1,Applied_computing
role,1,Applied_computing
scheme,2,Applied_computing
callahan,4,Applied_computing
matrix,1,Applied_computing
redol,1,Applied_computing
machin,1,Applied_computing
hand,1,Applied_computing
datapath,4,Applied_computing
chip,2,Applied_computing
c,10,Applied_computing
address,3,Applied_computing
set,3,Applied_computing
pipelin,1,Applied_computing
e,3,Applied_computing
ch,1,Applied_computing
kernel,2,Applied_computing
ck,2,Applied_computing
j,2,Applied_computing
tradit,1,Applied_computing
abl,1,Applied_computing
familiar,1,Applied_computing
configwar,1,Applied_computing
n,1,Applied_computing
o,1,Applied_computing
figur,1,Applied_computing
p,3,Applied_computing
fly,1,Applied_computing
fast,2,Applied_computing
xpp,2,Applied_computing
demonstr,1,Applied_computing
operand,1,Applied_computing
mweinhardt,1,Applied_computing
thu,1,Applied_computing
de,2,Applied_computing
imper,1,Applied_computing
acm,10,Applied_computing
forc,1,Applied_computing
ist,2,Applied_computing
adder,1,Applied_computing
dr,1,Applied_computing
specif,7,Applied_computing
hold,1,Applied_computing
later,1,Applied_computing
act,1,Applied_computing
post,1,Applied_computing
prior,1,Applied_computing
implement,7,Applied_computing
elc,2,Applied_computing
digit,1,Applied_computing
which,4,Applied_computing
par,1,Applied_computing
posi,1,Applied_computing
initi,1,Applied_computing
wherea,1,Applied_computing
pose,1,Applied_computing
garp,2,Applied_computing
reduc,1,Applied_computing
list,1,Applied_computing
els,1,Applied_computing
et,11,Applied_computing
integr,2,Applied_computing
take,1,Applied_computing
ex,2,Applied_computing
commonli,1,Applied_computing
final,1,Applied_computing
iui,1,Applied_computing
stein,1,Applied_computing
univers,1,Applied_computing
fu,1,Applied_computing
sig,1,Applied_computing
vol,4,Applied_computing
softwar,2,Applied_computing
germani,1,Applied_computing
combin,1,Applied_computing
end,1,Applied_computing
hard,1,Applied_computing
eng,1,Applied_computing
sole,1,Applied_computing
algarv,1,Applied_computing
outperform,1,Applied_computing
coupl,2,Applied_computing
berkelei,1,Applied_computing
otherwis,1,Applied_computing
custom,2,Applied_computing
perform,3,Applied_computing
howev,1,Applied_computing
multipli,1,Applied_computing
energi,1,Applied_computing
special,2,Applied_computing
form,2,Applied_computing
partit,1,Applied_computing
numer,1,Applied_computing
well,1,Applied_computing
gate,1,Applied_computing
grant,2,Applied_computing
foundat,1,Applied_computing
subset,1,Applied_computing
cardoso,3,Applied_computing
copyright,1,Applied_computing
select,2,Applied_computing
challeng,1,Applied_computing
easili,1,Applied_computing
focus,1,Applied_computing
desir,1,Applied_computing
bit,3,Applied_computing
approach,5,Applied_computing
faculdad,1,Applied_computing
output,1,Applied_computing
number,1,Applied_computing
promis,2,Applied_computing
identifi,2,Applied_computing
lisboa,1,Applied_computing
bottleneck,1,Applied_computing
nal,1,Applied_computing
specifi,1,Applied_computing
leverag,2,Applied_computing
block,5,Applied_computing
id,2,Applied_computing
per,1,Applied_computing
spatial,1,Applied_computing
flow,3,Applied_computing
order,1,Applied_computing
gokhal,3,Applied_computing
capabl,2,Applied_computing
abil,1,Applied_computing
classroom,1,Applied_computing
integ,1,Applied_computing
exit,1,Applied_computing
system,4,Applied_computing
synergi,1,Applied_computing
field,1,Applied_computing
orchestr,1,Applied_computing
hardcor,1,Applied_computing
singl,2,Applied_computing
characterist,1,Applied_computing
partial,1,Applied_computing
doi,2,Applied_computing
server,1,Applied_computing
other,5,Applied_computing
aim,2,Applied_computing
natur,1,Applied_computing
ping,1,Applied_computing
universidad,3,Applied_computing
articl,4,Applied_computing
reconfigwar,9,Applied_computing
assum,1,Applied_computing
stand,1,Applied_computing
map,6,Applied_computing
avail,1,Applied_computing
side,1,Applied_computing
marku,1,Applied_computing
cach,1,Applied_computing
off,1,Applied_computing
notic,1,Applied_computing
wawrzynek,2,Applied_computing
framework,1,Applied_computing
baumgart,1,Applied_computing
exampl,3,Applied_computing
li,1,Applied_computing
usa,1,Applied_computing
honor,1,Applied_computing
screen,1,Applied_computing
main,2,Applied_computing
reconfigur,15,Applied_computing
erat,1,Applied_computing
mode,1,Applied_computing
plaza,1,Applied_computing
ogi,1,Applied_computing
high,2,Applied_computing
etc,1,Applied_computing
fine,2,Applied_computing
dehon,1,Applied_computing
than,1,Applied_computing
function,3,Applied_computing
limit,1,Applied_computing
commun,1,Applied_computing
grain,2,Applied_computing
credit,1,Applied_computing
all,2,Applied_computing
new,1,Applied_computing
entri,1,Applied_computing
sequenti,2,Applied_computing
level,4,Applied_computing
tica,1,Applied_computing
author,1,Applied_computing
engenharia,1,Applied_computing
cpu,1,Applied_computing
survei,7,Applied_computing
rout,4,Applied_computing
alv,1,Applied_computing
utl,2,Applied_computing
presenc,1,Applied_computing
